1,Kolatt,1,-0.1,15.6
2,Kolatt,1,-0.1,15.6
3,Kolatt,1,-0.25,19.25
4,Kolatt,1,-0.4,22.9
5,Kolatt,1,-0.55,26.55
6,Kolatt,1,-0.7,30.2
7,Kolatt,1,-0.85,33.85
8,Kolatt,1,-1,37.5
9,Kolatt,1,-1.1,41.1
10,Kolatt,1,-1.25,44.75
11,Kolatt,1,-1.4,48.4
12,Kolatt,1,-1.55,52.05
13,Kolatt,1,-1.7,55.7
14,Kolatt,1,-1.85,59.35
15,Kolatt,1,-2,63
16,Kolatt,4,1.3,62.5
17,Kolatt,4,4.65,62.5
18,Kolatt,4,8,62.5
19,Kolatt,4,11.3,63
20,Kolatt,4,14.65,63
21,Kolatt,4,18,63
22,Kolatt,4,21.3,63
23,Kolatt,4,24.65,62.5
24,Kolatt,4,28,62.5
25,Kolatt,4,31.3,62.5
26,Kolatt,4,34.65,62.5
27,Kolatt,4,38,63
28,Kolatt,4,41.3,63
29,Kolatt,4,44.65,63
30,Kolatt,4,48,63
31,Kolatt,2,48,59.65
32,Kolatt,2,48,56.3
33,Kolatt,2,48,53
34,Kolatt,2,48,49.65
35,Kolatt,2,48,46.3
36,Kolatt,2,48,43
37,Kolatt,2,48,39.65
38,Kolatt,2,48,36.3
39,Kolatt,2,48,33
40,Kolatt,2,48,29.65
41,Kolatt,2,48,26.3
42,Kolatt,2,48,23
43,Kolatt,2,48,19.65
44,Kolatt,2,48,16.3
45,Kolatt,2,48,13
46,Kolatt,3,44.65,12.5
47,Kolatt,3,41.3,12.5
48,Kolatt,3,38,12.5
49,Kolatt,3,34.65,13
50,Kolatt,3,31.3,13
51,Kolatt,3,28,13
52,Kolatt,3,24.65,13
53,Kolatt,3,21.3,12.5
54,Kolatt,3,18,12.5
55,Kolatt,3,14.65,12.5
56,Kolatt,3,11.3,12.5
57,Kolatt,3,8,13
58,Kolatt,3,4.65,13
59,Kolatt,3,1.3,13
60,Kolatt,3,-2,13
