1;camera;171.25;247.6
1;jen;509.8;331.4
1;lgate1;366.65;629.55
1;rgate1;627.15;629.55
4;se:GateMove;0;0
5;lgate1;367.5;629.55
5;rgate1;626.35;629.55
6;lgate1;368.4;629.55
6;rgate1;625.5;629.55
7;camera;168.25;247.6
7;lgate1;369.25;629.55
7;rgate1;624.7;629.55
8;camera;171.25;247.6
8;lgate1;370.15;629.55
8;rgate1;623.85;629.55
9;camera;174.25;247.6
9;lgate1;371;629.55
9;rgate1;623.05;629.55
10;camera;171.25;247.6
10;lgate1;371.9;629.55
10;rgate1;622.2;629.55
11;camera;168.25;247.6
11;lgate1;372.75;629.55
11;rgate1;621.4;629.55
12;camera;171.25;247.6
12;lgate1;373.6;629.55
12;rgate1;620.55;629.55
13;camera;174.25;247.6
13;lgate1;374.5;629.55
13;rgate1;619.75;629.55
14;camera;171.25;247.6
14;lgate1;375.35;629.55
14;rgate1;618.9;629.55
15;camera;168.25;247.6
15;lgate1;376.25;629.55
15;rgate1;618.1;629.55
16;camera;171.25;247.6
16;lgate1;377.1;629.55
16;rgate1;617.25;629.55
17;camera;174.25;247.6
17;lgate1;378;629.55
17;rgate1;616.45;629.55
18;camera;171.25;247.6
18;lgate1;378.85;629.55
18;rgate1;615.6;629.55
19;camera;168.25;247.6
19;lgate1;379.7;629.55
19;rgate1;614.8;629.55
20;camera;171.25;247.6
20;lgate1;380.6;629.55
20;rgate1;613.95;629.55
21;camera;174.25;247.6
21;lgate1;381.45;629.55
21;rgate1;613.15;629.55
22;camera;171.25;247.6
22;lgate1;382.35;629.55
22;rgate1;612.3;629.55
23;camera;168.25;247.6
23;lgate1;383.2;629.55
23;rgate1;611.5;629.55
24;camera;171.25;247.6
24;lgate1;384.05;629.55
24;rgate1;610.65;629.55
25;camera;174.25;247.6
25;lgate1;384.95;629.55
25;rgate1;609.85;629.55
26;camera;171.25;247.6
26;lgate1;385.8;629.55
26;rgate1;609;629.55
27;camera;168.25;247.6
27;lgate1;386.7;629.55
27;rgate1;608.2;629.55
28;camera;171.25;247.6
28;lgate1;387.55;629.55
28;rgate1;607.35;629.55
29;camera;174.25;247.6
29;lgate1;388.45;629.55
29;rgate1;606.55;629.55
30;camera;171.25;247.6
30;lgate1;389.3;629.55
30;rgate1;605.7;629.55
31;camera;168.25;247.6
31;lgate1;390.15;629.55
31;rgate1;604.9;629.55
32;camera;171.25;247.6
32;lgate1;391.05;629.55
32;rgate1;604.05;629.55
33;camera;174.25;247.6
33;lgate1;391.9;629.55
33;rgate1;603.25;629.55
34;camera;171.25;247.6
34;lgate1;392.8;629.55
34;rgate1;602.4;629.55
35;camera;168.25;247.6
35;lgate1;393.65;629.55
35;rgate1;601.6;629.55
36;camera;171.25;247.6
36;lgate1;394.55;629.55
36;rgate1;600.75;629.55
37;camera;174.25;247.6
37;lgate1;395.4;629.55
37;rgate1;599.95;629.55
38;camera;171.25;247.6
38;lgate1;396.25;629.55
38;rgate1;599.1;629.55
39;camera;168.25;247.6
39;lgate1;397.15;629.55
39;rgate1;598.3;629.55
40;camera;171.25;247.6
40;lgate1;398;629.55
40;rgate1;597.45;629.55
41;camera;174.25;247.6
41;lgate1;398.9;629.55
41;rgate1;596.65;629.55
42;camera;171.25;247.6
42;lgate1;399.75;629.55
42;rgate1;595.8;629.55
43;camera;168.25;247.6
43;lgate1;400.6;629.55
43;rgate1;595;629.55
44;camera;171.25;247.6
44;lgate1;401.5;629.55
44;rgate1;594.15;629.55
45;camera;174.25;247.6
45;lgate1;402.35;629.55
45;rgate1;593.35;629.55
46;camera;171.25;247.6
46;lgate1;403.25;629.55
46;rgate1;592.5;629.55
47;camera;168.25;247.6
47;lgate1;404.1;629.55
47;rgate1;591.7;629.55
48;camera;171.25;247.6
48;lgate1;405;629.55
48;rgate1;590.85;629.55
49;camera;174.25;247.6
49;lgate1;405.85;629.55
49;rgate1;590.05;629.55
50;camera;171.25;247.6
50;lgate1;406.7;629.55
50;rgate1;589.2;629.55
51;camera;168.25;247.6
51;lgate1;407.6;629.55
51;rgate1;588.4;629.55
52;camera;171.25;247.6
52;lgate1;408.45;629.55
52;rgate1;587.55;629.55
53;camera;174.25;247.6
53;lgate1;409.35;629.55
53;rgate1;586.75;629.55
54;camera;171.25;247.6
54;lgate1;410.2;629.55
54;rgate1;585.9;629.55
55;camera;168.25;247.6
55;lgate1;411.1;629.55
55;rgate1;585.1;629.55
56;camera;171.25;247.6
56;lgate1;411.95;629.55
56;rgate1;584.25;629.55
57;camera;174.25;247.6
57;lgate1;412.8;629.55
57;rgate1;583.45;629.55
58;camera;171.25;247.6
58;lgate1;413.7;629.55
58;rgate1;582.6;629.55
59;camera;168.25;247.6
59;lgate1;414.55;629.55
59;rgate1;581.8;629.55
60;camera;171.25;247.6
60;lgate1;415.45;629.55
60;rgate1;580.95;629.55
61;camera;174.25;247.6
61;lgate1;416.3;629.55
61;rgate1;580.15;629.55
62;camera;171.25;247.6
62;lgate1;417.2;629.55
62;rgate1;579.3;629.55
63;camera;168.25;247.6
63;lgate1;418.05;629.55
63;rgate1;578.5;629.55
64;camera;171.25;247.6
64;lgate1;418.9;629.55
64;rgate1;577.65;629.55
65;camera;174.25;247.6
65;lgate1;419.8;629.55
65;rgate1;576.85;629.55
66;camera;171.25;247.6
66;lgate1;420.65;629.55
66;rgate1;576;629.55
67;camera;168.25;247.6
67;lgate1;421.55;629.55
67;rgate1;575.2;629.55
68;camera;171.25;247.6
68;lgate1;422.4;629.55
68;rgate1;574.35;629.55
69;camera;174.25;247.6
69;lgate1;423.25;629.55
69;rgate1;573.55;629.55
70;camera;171.25;247.6
70;lgate1;424.15;629.55
70;rgate1;572.7;629.55
71;camera;168.25;247.6
71;lgate1;425;629.55
71;rgate1;571.9;629.55
72;camera;171.25;247.6
72;lgate1;425.9;629.55
72;rgate1;571.05;629.55
73;camera;174.25;247.6
73;lgate1;426.75;629.55
73;rgate1;570.25;629.55
74;camera;171.25;247.6
74;lgate1;427.65;629.55
74;rgate1;569.4;629.55
75;camera;168.25;247.6
75;lgate1;428.5;629.55
75;rgate1;568.6;629.55
76;camera;171.25;247.6
76;lgate1;429.35;629.55
76;rgate1;567.75;629.55
77;camera;174.25;247.6
77;lgate1;430.25;629.55
77;rgate1;566.95;629.55
78;camera;171.25;247.6
78;lgate1;431.1;629.55
78;rgate1;566.1;629.55
79;camera;168.25;247.6
79;lgate1;432;629.55
79;rgate1;565.3;629.55
80;camera;171.25;247.6
80;lgate1;432.85;629.55
80;rgate1;564.45;629.55
81;camera;174.25;247.6
81;lgate1;433.75;629.55
81;rgate1;563.65;629.55
82;camera;171.25;247.6
82;lgate1;434.6;629.55
82;rgate1;562.8;629.55
83;camera;168.25;247.6
83;lgate1;435.45;629.55
83;rgate1;562;629.55
84;camera;171.25;247.6
84;lgate1;436.35;629.55
84;rgate1;561.15;629.55
85;camera;174.25;247.6
85;lgate1;437.2;629.55
85;rgate1;560.35;629.55
86;camera;171.25;247.6
86;lgate1;438.1;629.55
86;rgate1;559.5;629.55
87;camera;168.25;247.6
87;lgate1;438.95;629.55
87;rgate1;558.7;629.55
88;camera;171.25;247.6
88;lgate1;439.85;629.55
88;rgate1;557.85;629.55
89;camera;174.25;247.6
89;lgate1;440.7;629.55
89;rgate1;557.05;629.55
90;camera;171.25;247.6
90;lgate1;441.55;629.55
90;rgate1;556.2;629.55
91;camera;168.25;247.6
91;lgate1;442.45;629.55
91;rgate1;555.4;629.55
92;camera;171.25;247.6
92;lgate1;443.3;629.55
92;rgate1;554.55;629.55
93;camera;174.25;247.6
93;lgate1;444.2;629.55
93;rgate1;553.75;629.55
94;camera;171.25;247.6
94;lgate1;445.05;629.55
94;rgate1;552.9;629.55
95;camera;168.25;247.6
95;lgate1;445.9;629.55
95;rgate1;552.1;629.55
96;camera;171.25;247.6
96;lgate1;446.8;629.55
96;rgate1;551.25;629.55
97;camera;174.25;247.6
97;lgate1;447.65;629.55
97;rgate1;550.45;629.55
98;camera;171.25;247.6
98;lgate1;448.55;629.55
98;rgate1;549.6;629.55
99;camera;168.25;247.6
99;lgate1;449.4;629.55
99;rgate1;548.8;629.55
100;camera;171.25;247.6
100;lgate1;450.3;629.55
100;rgate1;548;629.55
101;camera;174.25;247.6
101;lgate1;451.15;629.55
101;rgate1;547.15;629.55
-----------------------------------------------
1; camera; camera
1; jen; jenD
1; lgate1; lgate1S
1; rgate1; rgate1S
1; ; Bitmap 13
